backbone,display,vis_params_M,lang,lang_name,low_resource,iou_cluster_mask,iou_thresh_0.15,iou_thresh_0.20,iou_thresh_0.25,iou_pct_90,iou_pct_95,iou_pct_99,spearman,pearson,peak_ref,peak_lang,mean_ref,mean_lang,peak_ratio_lang_over_ref,n_clusters_ref,n_clusters_lang,center_dist_symmetric,n_samples,family
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,ru,Russian,False,0.5551981304621048,0.47676618647364255,0.40386081024954107,0.9874458874458875,0.44336005127007877,0.36917863830942643,0.28781663106819383,0.8224256202475484,0.8402234893147047,0.2018154957787299,0.19436487778698727,0.1443670098560971,0.13212982525815178,0.968371524248062,5.583982683982684,5.646753246753247,31.38444477493946,2310.0,Slavic
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,zh-CN,Chinese (Simp.),False,0.5334194491917231,0.5514660694699205,0.35869709541496697,0.9479966351657622,0.4160811847465525,0.34921585685265516,0.2727293891790459,0.8138433319535595,0.8352283486201392,0.2018154957787299,0.21115310510128607,0.1443670098560971,0.1452213456684893,1.051843478774629,5.583982683982684,5.442857142857143,31.760634954128705,2310.0,Sinitic
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,zh-TW,Chinese (Trad.),False,0.5630062117746243,0.5508890209442765,0.4293409039999352,0.9706683279225251,0.45216070052370616,0.3856021866578778,0.3062575580114847,0.8390156485985406,0.8573247386457084,0.2018154957787299,0.20604573883664556,0.1443670098560971,0.14046950865036997,1.0279936407347914,5.583982683982684,5.561904761904762,29.843474787206603,2310.0,Sinitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,ar,Arabic,True,0.5627975141654943,0.29992205865836463,0.7841876462081399,1.0,0.4719872970064327,0.40140544225647334,0.2732973504147175,0.8555882975334075,0.8753525742591718,0.17730123989638827,0.16455112930500146,0.1100809681596178,0.10222490636946319,0.9367833069878866,20.12121212121212,19.751082251082252,14.636766800716414,2310.0,Semitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,ca,Catalan,False,0.6101576297526122,0.3341493693372698,0.7986988787771254,1.0,0.5558753602492843,0.5010504497826629,0.3752440106589973,0.8845459984509594,0.8992420719686525,0.17730123989638827,0.1672499793013195,0.1100809681596178,0.10174422909171034,0.9502691371332289,20.12121212121212,21.013419913419913,12.638323950379963,2310.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,de,German,False,0.6209797421152677,0.3158221451984242,0.7980775675415025,1.0,0.5600162312554562,0.5026151270876608,0.3758029444926887,0.9055990275279755,0.9182915921593126,0.17730123989638827,0.16222932107778854,0.1100809681596178,0.09361456827103318,0.9197090684661265,20.12121212121212,21.194805194805195,12.322279790376106,2310.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,en,English,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999617343341,0.17730123989638827,0.17730123989638827,0.1100809681596178,0.1100809681596178,1.0,20.12121212121212,20.12121212121212,0.0,2310.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,es,Spanish,False,0.6512102813948832,0.41401901749276165,0.8064880094965129,1.0,0.5975062882286458,0.5394444436890409,0.41021479787677184,0.9187325067264374,0.9311854611227522,0.17730123989638827,0.17002341772119203,0.1100809681596178,0.10357924025038104,0.964361690245649,20.12121212121212,20.393939393939394,11.770291799760527,2310.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,eu,Basque,True,0.4438280735227738,0.2700710124860386,0.7888004998869187,1.0,0.3640219996445819,0.3091046267331158,0.2053022978444761,0.6508484644768984,0.6688487814517603,0.17730123989638827,0.16045412697639816,0.1100809681596178,0.09880196733230895,0.9153884429592808,20.12121212121212,20.47099567099567,17.163017080618467,2310.0,Isolate
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,fr,French,False,0.6236830900172903,0.32829068000391204,0.7982790634590803,1.0,0.5498497426800121,0.4812003072114931,0.34059221923325045,0.906044454334371,0.9193234930048774,0.17730123989638827,0.1643729801076057,0.1100809681596178,0.098398319022222,0.932675317363219,20.12121212121212,20.75974025974026,12.582879300626928,2310.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,it,Italian,False,0.6151639873880016,0.3624634661058336,0.7970580866301655,1.0,0.5440480951033027,0.47655856155199605,0.3404612923650103,0.8953996309774173,0.9099661899077428,0.17730123989638827,0.16643014678900891,0.1100809681596178,0.10027634410502075,0.9447800883933635,20.12121212121212,20.5004329004329,12.7795706829558,2310.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,lb,Luxembourgish,True,0.3875381761782711,0.20652995848930897,0.7978539262078068,1.0,0.28216520234425446,0.22347733643534856,0.1345266885879838,0.5769374875240851,0.5907419575452885,0.17730123989638827,0.1524565398596324,0.1100809681596178,0.09073712228761091,0.874238883350008,20.12121212121212,21.35151515151515,18.587575854207657,2310.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,pt,Portuguese,False,0.62699120419919,0.39909037495584526,0.8038585716189847,1.0,0.5585374968552448,0.4957732670720574,0.362722137438168,0.9062374106213429,0.9213943200193958,0.17730123989638827,0.16798173737151798,0.1100809681596178,0.10260287783072367,0.9522275365909246,20.12121212121212,20.414285714285715,12.4609908063318,2310.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,ru,Russian,False,0.5730504072196649,0.31214430272111715,0.7969194370448224,1.0,0.48982814217855425,0.4221059929691332,0.2921696268617434,0.862579263289247,0.8829276670754214,0.17730123989638827,0.16186496171600376,0.1100809681596178,0.0968839737453631,0.918466360913447,20.12121212121212,19.996969696969696,14.234520377857391,2310.0,Slavic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,zh-CN,Chinese (Simp.),False,0.5728400271672434,0.36237502614500344,0.8004800187054123,1.0,0.5130053386482235,0.4578014323050387,0.33971692590217806,0.8725236034887317,0.8888616609108912,0.17730123989638827,0.17076639991366502,0.1100809681596178,0.09498709607143681,0.9689128450755973,20.12121212121212,22.76753246753247,13.043606632184177,2310.0,Sinitic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,632,zh-TW,Chinese (Trad.),False,0.5739490799913509,0.33970103394082785,0.8088678994674898,1.0,0.5123930061049238,0.45500490596335974,0.3324946647190937,0.8606012489615454,0.8761913596551656,0.17730123989638827,0.1692976953534337,0.1100809681596178,0.0952472654546236,0.961217702928551,20.12121212121212,22.186147186147185,13.18748332210075,2310.0,Sinitic
