backbone,display,concept,lang,lang_name,low_resource,iou_cluster_mask,iou_thresh_0.15,iou_thresh_0.20,iou_thresh_0.25,iou_pct_90,iou_pct_95,iou_pct_99,spearman,pearson,peak_ref,peak_lang,mean_ref,mean_lang,peak_ratio_lang_over_ref,n_clusters_ref,n_clusters_lang,center_dist_symmetric,n_samples,family
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,ca,Catalan,False,0.6506108413559243,0.3178337328671657,0.5050524045019892,1.0,0.5849831707639137,0.5344893042233291,0.4134295262605738,0.940610404073092,0.9634141737506503,0.1999038706932749,0.1886570597688357,0.13218538495046753,0.11279651749701727,0.9439130731900652,17.30952380952381,19.928571428571427,13.291449941939462,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,de,German,False,0.6738075334119834,0.2678951180019899,0.5185800897575435,1.0,0.596700217477848,0.5365720326112168,0.40399180332768075,0.9503107634780685,0.967095369668234,0.1999038706932749,0.18528673272757304,0.13218538495046753,0.10782686493226461,0.92683064678617,17.30952380952381,18.99047619047619,13.142864034957313,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,en,English,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999602635702,0.1999038706932749,0.1999038706932749,0.13218538495046753,0.13218538495046753,1.0,17.30952380952381,17.30952380952381,0.0,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,es,Spanish,False,0.6886853561821027,0.4256744783945387,0.5296107669209711,1.0,0.6136483827348439,0.5558811019270281,0.4357292007979767,0.9534054403556681,0.9729958434899648,0.1999038706932749,0.18998300035794577,0.13218538495046753,0.11784310273471332,0.9502887171355381,17.30952380952381,18.414285714285715,12.700857419684075,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,eu,Basque,True,0.6171431838080245,0.5735033416475722,0.4798907965509585,1.0,0.5145872821635349,0.4493758119766029,0.31601358403124785,0.9210712802697181,0.9457797164008731,0.1999038706932749,0.19063881209918432,0.13218538495046753,0.12906320396633375,0.9546432359005236,17.30952380952381,17.28095238095238,14.972490551971385,210.0,Isolate
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,fr,French,False,0.677753395637799,0.3053577207861229,0.5034775480222008,1.0,0.5935692311012929,0.526668794152677,0.3731275286085241,0.9525858096925577,0.9734187001273745,0.1999038706932749,0.184658843988464,0.13218538495046753,0.1115904012251468,0.9238488612872958,17.30952380952381,18.195238095238096,13.01275551219898,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,it,Italian,False,0.6512434762105546,0.278236236233134,0.4994843982919643,1.0,0.567362668330345,0.5023920697811703,0.3585356537357586,0.9374392677317263,0.964483813728605,0.1999038706932749,0.18397488579863594,0.13218538495046753,0.1118329429555507,0.9204897082278609,17.30952380952381,18.423809523809524,13.701765040360973,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,lb,Luxembourgish,True,0.5682644936362946,0.33346437601773765,0.5257967922546692,1.0,0.445525327306035,0.3745085557290966,0.2447339336488286,0.8979032716494292,0.9170527531987145,0.1999038706932749,0.1884601265901611,0.13218538495046753,0.10717379056981631,0.9431402424385066,17.30952380952381,18.233333333333334,16.699595246375807,210.0,Germanic
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,pt,Portuguese,False,0.6637620327618559,0.36435069053025776,0.5015040233064484,1.0,0.5737323753019478,0.5051988593567518,0.3709089297477965,0.9461894619377392,0.9703300365379879,0.1999038706932749,0.1873152031784966,0.13218538495046753,0.1147697422476042,0.937184506620316,17.30952380952381,18.419047619047618,13.374150872468979,210.0,Romance
dense_clip_xlmr_large,XLM-R large + ViT-H/14,car,ru,Russian,False,0.5730438722214606,0.12470110946770077,0.4778333210101024,1.0,0.45027490006763077,0.3733413815429558,0.245293522523849,0.9053481932567918,0.9412743307295299,0.1999038706932749,0.17543729955241794,0.13218538495046753,0.10309259561555727,0.8777756539896499,17.30952380952381,19.085714285714285,16.38493679664863,210.0,Slavic
